implementation,metric,line_count,workers,worker,iteration,latency_ns
gpioctl_zsh,event-delivery,1,1,0,185,5260
gpioctl_zsh,event-roundtrip,1,1,0,186,9600
gpioctl_zsh,event-delivery,1,1,0,186,5020
gpioctl_zsh,event-roundtrip,1,1,0,187,9500
gpioctl_zsh,event-delivery,1,1,0,187,4920
gpioctl_zsh,event-roundtrip,1,1,0,188,9580
gpioctl_zsh,event-delivery,1,1,0,188,5040
gpioctl_zsh,event-roundtrip,1,1,0,189,10320
gpioctl_zsh,event-delivery,1,1,0,189,5240
gpioctl_zsh,event-roundtrip,1,1,0,190,9740
gpioctl_zsh,event-delivery,1,1,0,190,5040
gpioctl_zsh,event-roundtrip,1,1,0,191,9480
gpioctl_zsh,event-delivery,1,1,0,191,4920
gpioctl_zsh,event-roundtrip,1,1,0,192,9660
gpioctl_zsh,event-delivery,1,1,0,192,5100
gpioctl_zsh,event-roundtrip,1,1,0,193,9660
gpioctl_zsh,event-delivery,1,1,0,193,5060
gpioctl_zsh,event-roundtrip,1,1,0,194,12100
gpioctl_zsh,event-delivery,1,1,0,194,5920
gpioctl_zsh,event-roundtrip,1,1,0,195,9760
gpioctl_zsh,event-delivery,1,1,0,195,4960
gpioctl_zsh,event-roundtrip,1,1,0,196,9780
gpioctl_zsh,event-delivery,1,1,0,196,5100
gpioctl_zsh,event-roundtrip,1,1,0,197,9760
gpioctl_zsh,event-delivery,1,1,0,197,5059
gpioctl_zsh,event-roundtrip,1,1,0,198,9520
gpioctl_zsh,event-delivery,1,1,0,198,5000
gpioctl_zsh,event-roundtrip,1,1,0,199,9380
gpioctl_zsh,event-delivery,1,1,0,199,4880
gpioctl_zsh,event-roundtrip,1,1,0,200,9580
gpioctl_zsh,event-delivery,1,1,0,200,4980
gpioctl_zsh,event-roundtrip,1,1,0,201,9460
gpioctl_zsh,event-delivery,1,1,0,201,4940
gpioctl_zsh,event-roundtrip,1,1,0,202,9540
gpioctl_zsh,event-delivery,1,1,0,202,4980
gpioctl_zsh,event-roundtrip,1,1,0,203,9580
gpioctl_zsh,event-delivery,1,1,0,203,4940
gpioctl_zsh,event-roundtrip,1,1,0,204,9700
gpioctl_zsh,event-delivery,1,1,0,204,5040
gpioctl_zsh,event-roundtrip,1,1,0,205,9680
gpioctl_zsh,event-delivery,1,1,0,205,5020
gpioctl_zsh,event-roundtrip,1,1,0,206,9640
gpioctl_zsh,event-delivery,1,1,0,206,5040
gpioctl_zsh,event-roundtrip,1,1,0,207,9640
gpioctl_zsh,event-delivery,1,1,0,207,4940
gpioctl_zsh,event-roundtrip,1,1,0,208,9680
gpioctl_zsh,event-delivery,1,1,0,208,5000
gpioctl_zsh,event-roundtrip,1,1,0,209,9660
gpioctl_zsh,event-delivery,1,1,0,209,5020
gpioctl_zsh,event-roundtrip,1,1,0,210,9580
gpioctl_zsh,event-delivery,1,1,0,210,4980
gpioctl_zsh,event-roundtrip,1,1,0,211,9420
gpioctl_zsh,event-delivery,1,1,0,211,4900
gpioctl_zsh,event-roundtrip,1,1,0,212,9540
gpioctl_zsh,event-delivery,1,1,0,212,4980
gpioctl_zsh,event-roundtrip,1,1,0,213,9520
gpioctl_zsh,event-delivery,1,1,0,213,5000
gpioctl_zsh,event-roundtrip,1,1,0,214,9620
gpioctl_zsh,event-delivery,1,1,0,214,5080
gpioctl_zsh,event-roundtrip,1,1,0,215,9620
gpioctl_zsh,event-delivery,1,1,0,215,4960
gpioctl_zsh,event-roundtrip,1,1,0,216,10060
gpioctl_zsh,event-delivery,1,1,0,216,5380
gpioctl_zsh,event-roundtrip,1,1,0,217,9600
gpioctl_zsh,event-delivery,1,1,0,217,5000
gpioctl_zsh,event-roundtrip,1,1,0,218,9500
gpioctl_zsh,event-delivery,1,1,0,218,4960
gpioctl_zsh,event-roundtrip,1,1,0,219,9360
gpioctl_zsh,event-delivery,1,1,0,219,4820
gpioctl_zsh,event-roundtrip,1,1,0,220,9460
gpioctl_zsh,event-delivery,1,1,0,220,4980
gpioctl_zsh,event-roundtrip,1,1,0,221,9460
gpioctl_zsh,event-delivery,1,1,0,221,4960
gpioctl_zsh,event-roundtrip,1,1,0,222,9480
gpioctl_zsh,event-delivery,1,1,0,222,4960
gpioctl_zsh,event-roundtrip,1,1,0,223,9460
gpioctl_zsh,event-delivery,1,1,0,223,4860
gpioctl_zsh,event-roundtrip,1,1,0,224,9840
gpioctl_zsh,event-delivery,1,1,0,224,5240
gpioctl_zsh,event-roundtrip,1,1,0,225,9620
gpioctl_zsh,event-delivery,1,1,0,225,5020
gpioctl_zsh,event-roundtrip,1,1,0,226,9560
gpioctl_zsh,event-delivery,1,1,0,226,4960
gpioctl_zsh,event-roundtrip,1,1,0,227,9500
gpioctl_zsh,event-delivery,1,1,0,227,4920
gpioctl_zsh,event-roundtrip,1,1,0,228,9640
gpioctl_zsh,event-delivery,1,1,0,228,5040
gpioctl_zsh,event-roundtrip,1,1,0,229,9580
gpioctl_zsh,event-delivery,1,1,0,229,5040
gpioctl_zsh,event-roundtrip,1,1,0,230,9640
gpioctl_zsh,event-delivery,1,1,0,230,5060
gpioctl_zsh,event-roundtrip,1,1,0,231,9580
gpioctl_zsh,event-delivery,1,1,0,231,4900
gpioctl_zsh,event-roundtrip,1,1,0,232,9560
gpioctl_zsh,event-delivery,1,1,0,232,4980
gpioctl_zsh,event-roundtrip,1,1,0,233,9540
gpioctl_zsh,event-delivery,1,1,0,233,4980
gpioctl_zsh,event-roundtrip,1,1,0,234,9620
gpioctl_zsh,event-delivery,1,1,0,234,5000
gpioctl_zsh,event-roundtrip,1,1,0,235,9420
gpioctl_zsh,event-delivery,1,1,0,235,4880
gpioctl_zsh,event-roundtrip,1,1,0,236,9580
gpioctl_zsh,event-delivery,1,1,0,236,4960
gpioctl_zsh,event-roundtrip,1,1,0,237,9620
gpioctl_zsh,event-delivery,1,1,0,237,5020
gpioctl_zsh,event-roundtrip,1,1,0,238,9580
gpioctl_zsh,event-delivery,1,1,0,238,5040
gpioctl_zsh,event-roundtrip,1,1,0,239,9500
gpioctl_zsh,event-delivery,1,1,0,239,4940
gpioctl_zsh,event-roundtrip,1,1,0,240,9640
gpioctl_zsh,event-delivery,1,1,0,240,4980
gpioctl_zsh,event-roundtrip,1,1,0,241,9620
gpioctl_zsh,event-delivery,1,1,0,241,4999
gpioctl_zsh,event-roundtrip,1,1,0,242,11780
gpioctl_zsh,event-delivery,1,1,0,242,5820
gpioctl_zsh,event-roundtrip,1,1,0,243,9620
gpioctl_zsh,event-delivery,1,1,0,243,4900
gpioctl_zsh,event-roundtrip,1,1,0,244,9680
gpioctl_zsh,event-delivery,1,1,0,244,5060
gpioctl_zsh,event-roundtrip,1,1,0,245,9620
gpioctl_zsh,event-delivery,1,1,0,245,5020
gpioctl_zsh,event-roundtrip,1,1,0,246,9660
gpioctl_zsh,event-delivery,1,1,0,246,5020
gpioctl_zsh,event-roundtrip,1,1,0,247,9520
